IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.245.105.224,80,80,false,SIN,Asia Pacific,Singapore,14,0.52
8.210.55.134,2083,2083,true,HKG,Asia Pacific,Hong Kong,49,0.51
47.237.100.206,8880,8880,false,SIN,Asia Pacific,Singapore,17,0.50
47.243.107.148,2053,2053,true,HKG,Asia Pacific,Hong Kong,63,0.50
47.243.91.58,8080,8080,false,HKG,Asia Pacific,Hong Kong,45,0.49
8.217.75.193,8880,80,false,HKG,Asia Pacific,Hong Kong,48,0.47
47.243.139.85,2096,2096,true,HKG,Asia Pacific,Hong Kong,78,0.46
47.76.146.1,2096,2096,true,HKG,Asia Pacific,Hong Kong,53,0.46
47.76.178.146,2083,2083,true,HKG,Asia Pacific,Hong Kong,62,0.46
8.222.244.192,2087,2087,true,SIN,Asia Pacific,Singapore,62,0.45
47.237.10.1,2096,2096,true,SIN,Asia Pacific,Singapore,70,0.45
8.210.156.6,2096,2096,true,HKG,Asia Pacific,Hong Kong,205,0.44
8.218.18.235,2086,2086,false,HKG,Asia Pacific,Hong Kong,41,0.43
47.236.253.41,2096,2096,true,SIN,Asia Pacific,Singapore,33,0.42
8.218.207.169,2086,2086,false,HKG,Asia Pacific,Hong Kong,44,0.42
47.243.90.180,8443,8443,true,HKG,Asia Pacific,Hong Kong,69,0.42
47.57.13.107,443,443,true,HKG,Asia Pacific,Hong Kong,73,0.42
47.243.107.148,8080,8080,false,HKG,Asia Pacific,Hong Kong,40,0.42
8.217.149.28,2096,2096,true,HKG,Asia Pacific,Hong Kong,49,0.42
47.57.13.107,443,443,true,HKG,Asia Pacific,Hong Kong,76,0.41
8.210.66.190,8880,8880,false,HKG,Asia Pacific,Hong Kong,39,0.38
47.57.245.232,80,80,false,SJC,North America,San Jose,48,0.36
47.57.233.126,80,80,false,SJC,North America,San Jose,36,0.36
47.57.233.126,80,80,false,SJC,North America,San Jose,48,0.36
